"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"1311412","1311405","CORRECT","2013-03-08T22:44:08","U","UC","","Y","N","OFF","2013-03-12","2020-10-15","30E/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","USD-LIBOR-BBA","Percent","3.95","","0","USD","USD","100,000,000+","100,000,000+","6M","1M","","1M","","0","","","","0","","","Percent","2.356","","0"
"1311413","","NEW","2013-03-08T22:47:28","C","","","N","Y","OFF","2013-03-12","2023-03-12","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","2.139","","0","USD","USD","25,000,000","25,000,000","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311414","","NEW","2013-03-08T22:32:47","U","PC","","N","Y","OFF","2013-03-12","2023-03-12","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","2.125","","0","USD","USD","100,000,000+","100,000,000+","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311415","","NEW","2013-03-08T17:49:38","C","UC","","N","Y","ON","2013-03-12","2020-03-12","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","FIXED","USD-LIBOR-BBA","Percent","1.56352","","0","USD","USD","24,000,000","24,000,000","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311416","","NEW","2013-03-08T16:37:44","C","","","N","Y","OFF","2018-03-21","2023-03-15","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Novation","USD-LIBOR-BBA","FIXED","Percent","3.0825","USD","814,643.79947","USD","USD","75,000,000+","75,000,000+","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311417","","NEW","2013-03-08T22:46:39","U","","","Y","Y","OFF","2013-03-11","2014-06-09","","","IR","","InterestRate:Exotic","Trade","","","Embedded","0","","0","USD","","60,000","0","","","","","","0","","","","0","","","","0","","0"
"1311418","","NEW","2013-03-08T22:49:52","U","","","Y","Y","OFF","2013-03-11","2013-05-07","","","IR","","InterestRate:Exotic","Trade","","","Embedded","0","","0","USD","","120,000","0","","","","","","0","","","","0","","","","0","","0"
"1311419","","NEW","2013-03-08T17:26:31","U","PC","","Y","Y","OFF","2013-03-12","2013-04-12","","USD","IR","","InterestRate:Exotic","Trade","USD-ISDA-SWAP RATE","","Amount","239,583.33333","","0","USD","","250,000,000+","0","","","","","","0","","","","0","","","","0","","0"
"1311420","490903","CANCEL","2013-02-07T14:59:32","U","","","N","Y","","2013-02-11","2015-02-11","30/360","USD","IR","","NA","Trade","FIXED","USD-LIBOR-BBA","Percent","0.4025","","0","USD","USD","25,000,000","25,000,000","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311421","","NEW","2013-03-08T14:24:03","U","FC","","N","Y","OFF","2013-03-12","2015-03-12","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Amendment","LIBOR","FIXED","Percent","41","","0","USD","USD","130,000,000","130,000,000","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
